date,open,high,low,close,pre_close,volume,yield
2022/8/1,12.95,13.5,12.95,13.37,12.95,18906667,1
2022/8/2,13.22,13.51,13,13.29,13.37,14295423,-1
2022/8/3,13.29,13.44,12.9,12.91,13.29,12721389,-1
2022/8/4,12.98,13.28,12.91,13.09,12.91,9521279,1
2022/8/5,13.2,13.37,13.01,13.33,13.09,8951645,1
2022/8/8,13.13,13.24,12.91,12.94,13.33,16143694,-1
2022/8/9,12.95,13.22,12.75,13.2,12.94,13973000,1
2022/8/10,13.25,13.26,12.8,12.91,13.2,12362032,-1
2022/8/11,12.9,13.08,12.87,13.04,12.91,7433401,1
2022/8/12,13.08,13.31,12.91,13.21,13.04,13957980,1
2022/8/15,13.12,13.24,12.86,13.02,13.21,14795071,-1
2022/8/16,13.06,13.44,13.02,13.22,13.02,14017768,1
2022/8/17,13.27,13.53,13.16,13.47,13.22,14493375,1
2022/8/18,13.36,13.47,13.11,13.15,13.47,12262271,-1
2022/8/19,13.18,13.2,13.01,13.05,13.15,7108194,-1
2022/8/22,13.09,13.28,12.9,13.01,13.05,16043495,-1
2022/8/23,12.93,13.25,12.91,13.05,13.01,13518355,1
2022/8/24,13.13,13.18,12.98,13.03,13.05,11570860,-1
2022/8/25,13.03,13.73,13,13.63,13.03,23201116,1
2022/8/26,13.67,14.05,13.58,13.64,13.63,17123718,1
2022/8/29,13.48,13.8,13.4,13.55,13.64,15242432,-1
2022/8/30,13.5,13.68,13.43,13.63,13.55,8957887,1
2022/8/31,13.63,13.84,13.43,13.51,13.63,12579709,-1
2022/9/1,13.58,13.58,12.95,13.01,13.51,17298613,-1
2022/9/2,13.09,13.16,12.87,13.12,13.01,10553894,1
2022/9/5,13.1,13.27,12.95,13.07,13.12,11006521,-1
2022/9/6,12.99,13.44,12.99,13.43,13.07,13009974,1
2022/9/7,13.38,13.54,13.33,13.36,13.43,9153325,-1
2022/9/8,13.38,13.9,13.37,13.79,13.36,19289172,1
2022/9/9,13.77,13.97,13.61,13.86,13.79,12287633,1
2022/9/13,13.91,14.15,13.8,14.05,13.86,11764850,1
2022/9/14,13.81,14.07,13.75,13.83,14.05,10128530,-1
2022/9/15,13.96,14.01,13.68,13.86,13.83,8869501,1
2022/9/16,13.88,14.1,13.78,13.78,13.86,18860335,-1
2022/9/19,13.76,14.35,13.67,14.17,13.78,18449963,1
2022/9/20,14.19,14.3,13.95,14.22,14.17,15230287,1
2022/9/21,14.26,14.28,13.94,14.18,14.22,8903401,-1
2022/9/22,14.13,14.16,13.76,13.88,14.18,10011210,-1
2022/9/23,13.88,14.14,13.72,13.78,13.88,9255185,-1
2022/9/26,13.78,14.5,13.75,14.11,13.78,18003509,1
2022/9/27,14.02,15.08,14.02,14.99,14.11,37664825,1
2022/9/28,14.92,15.08,14.71,14.92,14.99,21099878,-1
2022/9/29,14.93,14.96,14.35,14.52,14.92,17754975,-1
2022/9/30,14.5,14.54,14.07,14.26,14.52,13763492,-1
2022/10/10,14.21,14.58,14.06,14.1,14.26,13136049,-1
2022/10/11,14.12,14.15,13.61,13.95,14.1,13445543,-1
2022/10/12,13.75,13.9,13,13.54,13.95,23726359,-1
2022/10/13,13.39,14.07,13.25,13.72,13.54,14796002,1
2022/10/14,13.74,14.05,13.65,13.82,13.72,12862751,1
2022/10/17,13.81,14.2,13.6,14.02,13.82,11355490,1
2022/10/18,14.32,14.91,13.73,13.74,14.02,18158086,-1
2022/10/19,13.72,14.07,13.65,13.69,13.74,11123884,-1
2022/10/20,13.5,14.24,13.37,13.8,13.69,16681885,1
2022/10/21,13.62,14.04,13.62,14.01,13.8,13096430,1
2022/10/24,13.88,13.9,13.18,13.27,14.01,23805120,-1
2022/10/25,13.2,13.8,13.12,13.68,13.27,15779195,1
2022/10/26,13.64,14.36,13.64,14.12,13.68,22613287,1
2022/10/27,14.1,14.4,13.89,14.19,14.12,14432920,1
2022/10/28,14.19,14.66,14.02,14.29,14.19,23439770,1
